ping,time_utc,lat,lon,heading_deg,slant_range_m,altitude_m,sensor_depth_m
0,2026-09-14T05:00:00.000000Z,13.0950000,80.3050000,20.0,32.0,10.0,2.0
20,2026-09-14T05:00:02.000000Z,13.0950170,80.3050063,20.0,32.0,10.0,2.0
40,2026-09-14T05:00:04.000000Z,13.0950340,80.3050126,20.0,32.0,10.0,2.0
60,2026-09-14T05:00:06.000000Z,13.0950510,80.3050189,20.0,32.0,10.0,2.0
80,2026-09-14T05:00:08.000000Z,13.0950680,80.3050252,20.0,32.0,10.0,2.0
100,2026-09-14T05:00:10.000000Z,13.0950849,80.3050315,20.0,32.0,10.0,2.0
120,2026-09-14T05:00:12.000000Z,13.0951019,80.3050378,20.0,32.0,10.0,2.0
140,2026-09-14T05:00:14.000000Z,13.0951189,80.3050442,20.0,32.0,10.0,2.0
160,2026-09-14T05:00:16.000000Z,13.0951359,80.3050505,20.0,32.0,10.0,2.0
180,2026-09-14T05:00:18.000000Z,13.0951529,80.3050568,20.0,32.0,10.0,2.0
200,2026-09-14T05:00:20.000000Z,13.0951699,80.3050631,20.0,32.0,10.0,2.0
220,2026-09-14T05:00:22.000000Z,13.0951869,80.3050694,20.0,32.0,10.0,2.0
240,2026-09-14T05:00:24.000000Z,13.0952039,80.3050757,20.0,32.0,10.0,2.0
260,2026-09-14T05:00:26.000000Z,13.0952208,80.3050820,20.0,32.0,10.0,2.0
280,2026-09-14T05:00:28.000000Z,13.0952378,80.3050883,20.0,32.0,10.0,2.0
300,2026-09-14T05:00:30.000000Z,13.0952548,80.3050946,20.0,32.0,10.0,2.0
320,2026-09-14T05:00:32.000000Z,13.0952718,80.3051009,20.0,32.0,10.0,2.0
340,2026-09-14T05:00:34.000000Z,13.0952888,80.3051072,20.0,32.0,10.0,2.0
360,2026-09-14T05:00:36.000000Z,13.0953058,80.3051135,20.0,32.0,10.0,2.0
380,2026-09-14T05:00:38.000000Z,13.0953228,80.3051198,20.0,32.0,10.0,2.0
400,2026-09-14T05:00:40.000000Z,13.0953398,80.3051262,20.0,32.0,10.0,2.0
420,2026-09-14T05:00:42.000000Z,13.0953567,80.3051325,20.0,32.0,10.0,2.0
440,2026-09-14T05:00:44.000000Z,13.0953737,80.3051388,20.0,32.0,10.0,2.0
460,2026-09-14T05:00:46.000000Z,13.0953907,80.3051451,20.0,32.0,10.0,2.0
480,2026-09-14T05:00:48.000000Z,13.0954077,80.3051514,20.0,32.0,10.0,2.0
500,2026-09-14T05:00:50.000000Z,13.0954247,80.3051577,20.0,32.0,10.0,2.0
520,2026-09-14T05:00:52.000000Z,13.0954417,80.3051640,20.0,32.0,10.0,2.0
540,2026-09-14T05:00:54.000000Z,13.0954587,80.3051703,20.0,32.0,10.0,2.0
560,2026-09-14T05:00:56.000000Z,13.0954757,80.3051766,20.0,32.0,10.0,2.0
580,2026-09-14T05:00:58.000000Z,13.0954926,80.3051829,20.0,32.0,10.0,2.0
600,2026-09-14T05:01:00.000000Z,13.0955096,80.3051892,20.0,32.0,10.0,2.0
620,2026-09-14T05:01:02.000000Z,13.0955266,80.3051955,20.0,32.0,10.0,2.0
639,2026-09-14T05:01:03.900000Z,13.0955428,80.3052015,20.0,32.0,10.0,2.0
